162;Castries;Sainte-Lucie;67000
163;Dili;Timor oriental;65000
164;Moroni;Comores;61000
165;Mbabane;Swaziland;60000
166;Thimphou;Bhoutan;55000
167;Malabo;Guinée équatoriale;47500
168;São Tomé;Sao Tomé-et-Principe;43420
169;Banjul;Gambie;34828
170;Apia;Samoa;34000
171;Nuku'alofa;Tonga;34000
172;Saint-Georges;Grenade;33734
173;Monaco;Monaco;32020
174;Honiara;Salomon;30000
175;Port-Vila;Vanuatu;30000
176;Saint John's;Antigua-et-Barbuda;30000
177;Tarawa;Kiribati;30000
178;Victoria;Seychelles;24701
179;Delap-Uliga-Darrit;Marshall;23676
180;Andorre-la-Vieille;Andorre;20800
181;Kingstown;Saint-Vincent-et-les Grenadines;16175
182;Roseau;Dominique;15853
183;Basseterre;Saint-Christophe-et-Niévès;15000
184;Palikir;Micronésie;8600
185;Belmopan;Belize;8305
186;La Valette;Malte;7100
187;Bridgetown;Barbade;6070
188;Vaduz;Liechtenstein;5203
189;Funafuti;Tuvalu;4590
190;Ville de Saint-Marin;Saint-Marin;4482
191;Cité du Vatican;Saint-Siège;790
192;Melekeok;Palaos;560
